incident_id,created_date,resolved_date,priority,severity,status,category,sub_category,assignment_group,resolver,sla_target_hours,resolution_time_hours,reopened_flag,sla_breach_flag,customer_id,ticket_subject,ticket_description,resolution,customer_satisfaction_rating
INC100001,47:00.0,34:24.0,P2,High,Closed,Cloud,Azure,Cloud Team,Ravi,48,29.79000092,1,0,CUST00768,Printer Offline,User reported printer offline.,Resolved printer offline after investigation.,5
INC100002,32:00.0,NULL,P1,Critical,Open,Software,Installation,Desktop Team,Ankit,24,NULL,0,NULL,CUST03680,SAP Login Failure,User reported sap login failure.,NULL,NULL
INC100003,51:00.0,34:48.0,P4,Low,Closed,Application,ERP,App Team,Amit,60,24.72999954,0,0,CUST02941,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,5
INC100004,16:00.0,24:24.0,P4,Low,Closed,Hardware,Laptop,Desktop Team,Sneha,60,43.13999939,0,0,CUST02963,Azure VM Down,User reported azure vm down.,Resolved azure vm down after investigation.,5
INC100005,45:00.0,21:36.0,P1,Critical,Closed,Cloud,Azure,Cloud Team,Neha,24,16.61000061,0,0,CUST02989,Firewall Rule Request,User reported firewall rule request.,Resolved firewall rule request after investigation.,5
INC100006,22:00.0,28:36.0,P4,Low,Closed,Security,Access,Security Team,David,60,25.11000061,0,0,CUST04563,Printer Offline,User reported printer offline.,Resolved printer offline after investigation.,5
INC100007,20:00.0,NULL,P4,Low,Pending Engineering,Network,Connectivity,Network Team,Ankit,60,NULL,0,NULL,CUST03287,VPN Connection Failure,User reported vpn connection failure.,NULL,NULL
INC100008,13:00.0,NULL,P4,Low,Open,Backup,Restore,Infra Team,Ankit,60,NULL,0,NULL,CUST03759,Firewall Rule Request,User reported firewall rule request.,NULL,NULL
INC100009,08:00.0,09:48.0,P4,Low,Closed,Software,Installation,Desktop Team,Sneha,60,35.02999878,0,0,CUST01134,Email Delivery Delay,User reported email delivery delay.,Resolved email delivery delay after investigation.,5
INC100010,05:00.0,NULL,P1,Critical,Pending Engineering,Database,SQL,DB Team,Ravi,24,NULL,0,NULL,CUST03459,Password Reset,User reported password reset.,NULL,NULL
INC100011,24:00.0,31:48.0,P3,Medium,Resolved,Hardware,Laptop,Desktop Team,Sneha,72,41.13000107,0,0,CUST04399,Database Timeout,User reported database timeout.,Resolved database timeout after investigation.,NULL
INC100012,21:00.0,01:12.0,P3,Medium,Closed,Email,Outlook,Messaging Team,Ravi,72,52.66999817,0,0,CUST04159,SAP Login Failure,User reported sap login failure.,Resolved sap login failure after investigation.,5
INC100013,19:00.0,NULL,P3,Medium,Open,Access,Password,IAM Team,Ankit,72,NULL,0,NULL,CUST01324,Password Reset,User reported password reset.,NULL,NULL
INC100014,58:00.0,45:24.0,P3,Medium,Closed,Backup,Restore,Infra Team,Rahul,72,88.79000092,0,1,CUST01974,Application Crash,User reported application crash.,Resolved application crash after investigation.,3
